camera_dep,camera_ent,day,dep_cam_part_dep,dep_cam_part_ent,dep_frame_dep,dep_frame_ent,ent_cam_part_dep,ent_cam_part_ent,ent_frame_dep,ent_frame_ent,hour,id_dep,id_ent,t_delta,track_dep,track_ent,track_len_dep,track_len_ent,transit
2.0,4.0,13.0,2_5,4_6,5945.0,6000.0,2_0,4_7,5790.0,5948.0,13.0,13_13_2_212,13_13_4_248,0.027027027027027195,212.0,248.0,146.0,53.0,3.0
2.0,4.0,11.0,2_5,4_5,4275.0,4480.0,2_0,4_7,4056.0,4278.0,13.0,11_13_2_143,11_13_4_291,0.027027027027027195,143.0,291.0,209.0,198.0,3.0
2.0,4.0,11.0,2_5,4_6,3505.0,3585.0,2_0,4_7,3359.0,3508.0,11.0,11_11_2_84,11_11_4_82,0.027027027027027195,84.0,82.0,147.0,59.0,3.0
2.0,4.0,11.0,2_5,4_6,3508.0,3620.0,2_0,4_7,3305.0,3511.0,11.0,11_11_2_79,11_11_4_84,0.027027027027027195,79.0,84.0,195.0,102.0,3.0
2.0,4.0,20.0,2_5,4_6,4485.0,4538.0,2_0,4_7,4300.0,4488.0,11.0,20_11_2_119,20_11_4_147,0.027027027027027195,119.0,147.0,166.0,48.0,3.0
2.0,4.0,4.0,2_5,4_6,1543.0,1659.0,2_0,4_7,1446.0,1546.0,11.0,4_11_2_35,4_11_4_40,0.027027027027027195,35.0,40.0,98.0,112.0,3.0
2.0,4.0,18.0,2_5,4_6,1900.0,2064.0,2_0,4_7,1780.0,1903.0,15.0,18_15_2_16,18_15_4_30,0.027027027027027195,16.0,30.0,121.0,103.0,3.0
14.0,13.0,16.0,14_8,13_1,3551.0,3666.0,14_1,13_1,3512.0,3564.0,13.0,16_13_14_14,16_13_13_28,0.02857142857142847,14.0,28.0,40.0,100.0,13.0
14.0,13.0,13.0,14_8,13_1,4506.0,4562.0,14_1,13_1,4478.0,4519.0,13.0,13_13_14_297,13_13_13_396,0.02857142857142847,297.0,396.0,29.0,44.0,13.0
14.0,13.0,9.0,14_8,13_1,1474.0,1565.0,14_1,13_1,1441.0,1487.0,13.0,9_13_14_14,9_13_13_34,0.02857142857142847,14.0,34.0,34.0,68.0,13.0
4.0,3.0,12.0,4_8,3_3,5605.0,5652.0,4_8,3_1,5480.0,5621.0,13.0,12_13_4_364,12_13_3_155,0.07142857142857117,364.0,155.0,110.0,32.0,16.0
4.0,3.0,19.0,4_8,3_0,821.0,901.0,4_6,3_8,733.0,825.0,13.0,19_13_4_61,19_13_3_35,0.07142857142857117,61.0,35.0,85.0,77.0,4.0
4.0,3.0,19.0,4_8,3_0,4357.0,4455.0,4_6,3_8,4270.0,4361.0,17.0,19_17_4_120,19_17_3_172,0.07142857142857117,120.0,172.0,88.0,95.0,4.0
4.0,3.0,9.0,4_8,3_5,3914.0,4079.0,4_6,3_8,3821.0,3918.0,13.0,9_13_4_121,9_13_3_150,0.07142857142857117,121.0,150.0,94.0,162.0,4.0
5.0,6.0,2.0,5_2,6_0,4866.0,4900.0,5_0,6_5,4770.0,4870.0,9.0,2_9_5_51,2_9_6_53,0.08000000000000007,51.0,53.0,96.0,31.0,4.0
5.0,6.0,1.0,5_2,6_0,2996.0,3328.0,5_7,6_5,2971.0,3000.0,13.0,1_13_5_104,1_13_6_134,0.08000000000000007,104.0,134.0,24.0,305.0,4.0
13.0,12.0,19.0,13_5,12_7,5227.0,5311.0,13_0,12_2,5123.0,5234.0,17.0,19_17_13_207,19_17_12_298,0.08333333333333304,207.0,298.0,105.0,78.0,7.0
13.0,12.0,6.0,13_5,12_7,2898.0,2929.0,13_0,12_2,2572.0,2905.0,9.0,6_9_13_40,6_9_12_42,0.08333333333333304,40.0,42.0,327.0,25.0,7.0
13.0,12.0,6.0,13_5,12_0,4759.0,4953.0,13_3,12_2,4730.0,4766.0,17.0,6_17_13_115,6_17_12_73,0.08333333333333304,115.0,73.0,30.0,171.0,7.0
13.0,12.0,1.0,13_5,12_7,4472.0,4512.0,13_0,12_2,4379.0,4479.0,13.0,1_13_13_157,1_13_12_117,0.08333333333333304,157.0,117.0,92.0,33.0,7.0
13.0,12.0,19.0,13_5,12_0,1480.0,1621.0,13_2,12_2,1395.0,1487.0,17.0,19_17_13_71,19_17_12_90,0.08333333333333304,71.0,90.0,86.0,132.0,7.0
2.0,3.0,10.0,2_2,3_0,3345.0,3431.0,2_0,3_8,3147.0,3348.0,13.0,10_13_2_119,10_13_3_106,0.08333333333333348,119.0,106.0,193.0,84.0,3.0
2.0,3.0,19.0,2_2,3_0,3154.0,3190.0,2_0,3_8,3114.0,3157.0,13.0,19_13_2_128,19_13_3_91,0.08333333333333348,128.0,91.0,41.0,34.0,3.0
2.0,3.0,19.0,2_2,3_0,1381.0,1567.0,2_0,3_8,1331.0,1384.0,17.0,19_17_2_37,19_17_3_56,0.08333333333333348,37.0,56.0,39.0,184.0,3.0
2.0,3.0,6.0,2_2,3_0,4039.0,4069.0,2_0,3_8,3964.0,4042.0,13.0,6_13_2_51,6_13_3_66,0.08333333333333348,51.0,66.0,76.0,28.0,3.0
2.0,3.0,2.0,2_2,3_0,3155.0,3196.0,2_0,3_8,3098.0,3158.0,13.0,2_13_2_87,2_13_3_137,0.08333333333333348,87.0,137.0,57.0,39.0,3.0
2.0,3.0,3.0,2_2,3_0,1814.0,1920.0,2_0,3_8,1721.0,1817.0,11.0,3_11_2_54,3_11_3_73,0.08333333333333348,54.0,73.0,94.0,81.0,3.0
3.0,2.0,18.0,3_5,2_2,5111.0,5306.0,3_0,2_1,5065.0,5131.0,17.0,18_17_3_145,18_17_2_133,0.09090909090908994,145.0,133.0,47.0,176.0,20.0
2.0,4.0,16.0,2_2,4_6,3474.0,3667.0,2_0,4_7,3311.0,3481.0,11.0,16_11_2_25,16_11_4_28,0.0952380952380949,25.0,28.0,137.0,132.0,7.0
7.0,6.0,11.0,7_8,6_0,948.0,1012.0,7_1,6_5,916.0,953.0,15.0,11_15_7_19,11_15_6_19,0.11538461538461497,19.0,19.0,33.0,60.0,5.0
7.0,6.0,20.0,7_8,6_3,4737.0,4824.0,7_0,6_5,4622.0,4742.0,19.0,20_19_7_153,20_19_6_50,0.11538461538461497,153.0,50.0,73.0,83.0,5.0
7.0,6.0,5.0,7_8,6_0,4043.0,4091.0,7_1,6_5,4011.0,4048.0,13.0,5_13_7_89,5_13_6_107,0.11538461538461497,89.0,107.0,33.0,43.0,5.0
7.0,6.0,10.0,7_8,6_0,2517.0,2594.0,7_1,6_5,2476.0,2522.0,9.0,10_9_7_28,10_9_6_20,0.11538461538461497,28.0,20.0,42.0,73.0,5.0
7.0,6.0,8.0,7_8,6_0,2307.0,2460.0,7_6,6_5,2116.0,2312.0,11.0,8_11_7_54,8_11_6_64,0.11538461538461497,54.0,64.0,192.0,149.0,5.0
4.0,2.0,19.0,4_5,2_0,4999.0,5109.0,4_6,2_4,4894.0,5002.0,13.0,19_13_4_286,19_13_2_173,0.11538461538461542,286.0,173.0,105.0,108.0,3.0
4.0,2.0,20.0,4_5,2_0,2185.0,2290.0,4_6,2_4,2105.0,2188.0,13.0,20_13_4_125,20_13_2_69,0.11538461538461542,125.0,69.0,74.0,79.0,3.0
4.0,2.0,16.0,4_5,2_0,3564.0,3796.0,4_6,2_4,3346.0,3567.0,13.0,16_13_4_36,16_13_2_56,0.11538461538461542,36.0,56.0,190.0,194.0,3.0
4.0,2.0,9.0,4_5,2_0,4220.0,4332.0,4_8,2_4,4031.0,4223.0,13.0,9_13_4_136,9_13_2_119,0.11538461538461542,136.0,119.0,190.0,110.0,3.0
4.0,2.0,15.0,4_5,2_0,5436.0,5665.0,4_6,2_4,5320.0,5439.0,9.0,15_9_4_55,15_9_2_106,0.11538461538461542,55.0,106.0,116.0,166.0,3.0
4.0,2.0,11.0,4_5,2_0,4813.0,4907.0,4_6,2_4,4716.0,4816.0,11.0,11_11_4_108,11_11_2_122,0.11538461538461542,108.0,122.0,98.0,92.0,3.0
14.0,12.0,2.0,14_5,12_0,3079.0,3231.0,14_6,12_1,2899.0,3082.0,13.0,2_13_14_88,2_13_12_103,0.125,88.0,103.0,181.0,142.0,3.0
12.0,13.0,4.0,12_2,13_0,5376.0,5439.0,12_7,13_4,5351.0,5388.0,13.0,4_13_12_111,4_13_13_256,0.14285714285714235,111.0,256.0,26.0,52.0,12.0
12.0,13.0,18.0,12_2,13_0,4302.0,4385.0,12_0,13_4,4195.0,4314.0,17.0,18_17_12_84,18_17_13_120,0.14285714285714235,84.0,120.0,108.0,58.0,12.0
5.0,6.0,5.0,5_2,6_0,5291.0,5452.0,5_7,6_8,5254.0,5294.0,17.0,5_17_5_69,5_17_6_87,0.15384615384615374,69.0,87.0,38.0,158.0,3.0
5.0,6.0,1.0,5_2,6_3,88.0,129.0,5_7,6_8,60.0,91.0,13.0,1_13_5_8,1_13_6_11,0.15384615384615374,8.0,11.0,29.0,39.0,3.0
5.0,6.0,20.0,5_2,6_3,3163.0,3279.0,5_2,6_8,2889.0,3166.0,17.0,20_17_5_61,20_17_6_71,0.15384615384615374,61.0,71.0,275.0,97.0,3.0
13.0,14.0,14.0,13_5,14_6,2654.0,2779.0,13_1,14_8,2493.0,2658.0,15.0,14_15_13_106,14_15_14_93,0.1578947368421053,106.0,93.0,162.0,101.0,4.0
9.0,10.0,14.0,9_2,10_4,4782.0,4940.0,9_2,10_8,4669.0,4784.0,15.0,14_15_9_86,14_15_10_153,0.18181818181818188,86.0,153.0,114.0,157.0,2.0
9.0,10.0,4.0,9_2,10_4,4401.0,4702.0,9_2,10_8,4349.0,4403.0,19.0,4_19_9_44,4_19_10_53,0.18181818181818188,44.0,53.0,53.0,300.0,2.0
9.0,10.0,13.0,9_2,10_1,3716.0,3757.0,9_0,10_8,3530.0,3718.0,19.0,13_19_9_50,13_19_10_80,0.18181818181818188,50.0,80.0,154.0,40.0,2.0
9.0,10.0,11.0,9_2,10_4,2719.0,2848.0,9_0,10_8,2623.0,2721.0,9.0,11_9_9_45,11_9_10_35,0.18181818181818188,45.0,35.0,97.0,128.0,2.0
9.0,10.0,5.0,9_2,10_4,4205.0,4294.0,9_2,10_8,4173.0,4207.0,13.0,5_13_9_129,5_13_10_159,0.18181818181818188,129.0,159.0,33.0,86.0,2.0
9.0,10.0,2.0,9_2,10_0,5681.0,5800.0,9_0,10_8,5525.0,5683.0,11.0,2_11_9_104,2_11_10_78,0.18181818181818188,104.0,78.0,157.0,116.0,2.0
9.0,10.0,13.0,9_2,10_0,994.0,1156.0,9_0,10_8,871.0,996.0,13.0,13_13_9_55,13_13_10_98,0.18181818181818188,55.0,98.0,124.0,161.0,2.0
9.0,10.0,13.0,9_2,10_1,862.0,957.0,9_0,10_8,743.0,864.0,13.0,13_13_9_29,13_13_10_69,0.18181818181818188,29.0,69.0,81.0,84.0,2.0
2.0,4.0,20.0,2_5,4_6,1234.0,1341.0,2_0,4_4,1081.0,1237.0,15.0,20_15_2_10,20_15_4_35,0.1923076923076925,10.0,35.0,147.0,97.0,3.0
2.0,4.0,19.0,2_5,4_6,574.0,656.0,2_0,4_4,495.0,577.0,13.0,19_13_2_3,19_13_4_30,0.1923076923076925,3.0,30.0,80.0,73.0,3.0
2.0,4.0,20.0,2_5,4_6,4524.0,4588.0,2_0,4_4,4449.0,4527.0,11.0,20_11_2_127,20_11_4_154,0.1923076923076925,127.0,154.0,76.0,54.0,3.0
2.0,4.0,11.0,2_5,4_6,3359.0,3586.0,2_0,4_4,3290.0,3362.0,13.0,11_13_2_119,11_13_4_209,0.1923076923076925,119.0,209.0,66.0,222.0,3.0
3.0,4.0,1.0,3_5,4_5,5076.0,5109.0,3_0,4_8,4986.0,5081.0,17.0,1_17_3_141,1_17_4_92,0.19354838709677402,141.0,92.0,91.0,29.0,5.0
3.0,4.0,9.0,3_5,4_6,4004.0,4171.0,3_1,4_8,3975.0,4009.0,13.0,9_13_3_151,9_13_4_130,0.19354838709677402,151.0,130.0,30.0,145.0,5.0
2.0,4.0,4.0,2_8,4_6,2417.0,2448.0,2_0,4_4,2221.0,2419.0,13.0,4_13_2_94,4_13_4_155,0.20000000000000018,94.0,155.0,194.0,30.0,2.0
6.0,5.0,2.0,6_8,5_7,5575.0,5606.0,6_3,5_2,5519.0,5577.0,17.0,2_17_6_123,2_17_5_84,0.2142857142857142,123.0,84.0,57.0,30.0,2.0
6.0,5.0,12.0,6_8,5_7,2677.0,2711.0,6_0,5_2,2601.0,2679.0,19.0,12_19_6_25,12_19_5_34,0.2142857142857142,25.0,34.0,77.0,33.0,2.0
6.0,5.0,13.0,6_8,5_7,1984.0,2014.0,6_0,5_2,1952.0,1986.0,13.0,13_13_6_98,13_13_5_55,0.2142857142857142,98.0,55.0,30.0,29.0,2.0
6.0,5.0,1.0,6_8,5_0,4532.0,4665.0,6_3,5_2,4474.0,4534.0,19.0,1_19_6_33,1_19_5_79,0.2142857142857142,33.0,79.0,59.0,127.0,2.0
4.0,2.0,20.0,4_5,2_0,1385.0,1564.0,4_6,2_1,1298.0,1389.0,13.0,20_13_4_82,20_13_2_38,0.23684210526315796,82.0,38.0,85.0,160.0,4.0
4.0,2.0,13.0,4_5,2_0,4811.0,4840.0,4_6,2_1,4712.0,4815.0,13.0,13_13_4_199,13_13_2_163,0.23684210526315796,199.0,163.0,100.0,26.0,4.0
4.0,2.0,19.0,4_5,2_0,5087.0,5256.0,4_6,2_1,4985.0,5091.0,13.0,19_13_4_299,19_13_2_180,0.23684210526315796,299.0,180.0,100.0,141.0,4.0
4.0,2.0,19.0,4_5,2_0,597.0,692.0,4_6,2_1,483.0,601.0,13.0,19_13_4_17,19_13_2_16,0.23684210526315796,17.0,16.0,115.0,92.0,4.0
4.0,2.0,6.0,4_5,2_0,1989.0,2140.0,4_6,2_1,1906.0,1993.0,13.0,6_13_4_10,6_13_2_11,0.23684210526315796,10.0,11.0,84.0,148.0,4.0
4.0,2.0,18.0,4_5,2_0,2847.0,2926.0,4_6,2_1,2802.0,2851.0,13.0,18_13_4_166,18_13_2_94,0.23684210526315796,166.0,94.0,46.0,72.0,4.0
4.0,2.0,18.0,4_5,2_0,2832.0,2991.0,4_6,2_1,2721.0,2836.0,13.0,18_13_4_158,18_13_2_92,0.23684210526315796,158.0,92.0,112.0,126.0,4.0
4.0,2.0,13.0,4_5,2_0,4719.0,4807.0,4_6,2_1,4663.0,4723.0,13.0,13_13_4_193,13_13_2_152,0.23684210526315796,193.0,152.0,56.0,81.0,4.0
4.0,2.0,13.0,4_5,2_0,4343.0,4396.0,4_6,2_1,4147.0,4347.0,13.0,13_13_4_157,13_13_2_129,0.23684210526315796,157.0,129.0,190.0,50.0,4.0
4.0,2.0,15.0,4_5,2_0,2147.0,2276.0,4_7,2_1,2031.0,2151.0,11.0,15_11_4_42,15_11_2_40,0.23684210526315796,42.0,40.0,103.0,123.0,4.0
4.0,2.0,18.0,4_5,2_0,2699.0,2846.0,4_6,2_1,2591.0,2703.0,13.0,18_13_4_146,18_13_2_87,0.23684210526315796,146.0,87.0,105.0,144.0,4.0
4.0,2.0,12.0,4_5,2_0,3579.0,3673.0,4_6,2_1,3343.0,3583.0,13.0,12_13_4_201,12_13_2_141,0.23684210526315796,201.0,141.0,196.0,91.0,4.0
4.0,2.0,20.0,4_5,2_0,5236.0,5291.0,4_6,2_1,5104.0,5240.0,17.0,20_17_4_114,20_17_2_106,0.23684210526315796,114.0,106.0,133.0,52.0,4.0
12.0,13.0,10.0,12_2,13_1,5208.0,5276.0,12_7,13_5,5177.0,5212.0,13.0,10_13_12_106,10_13_13_190,0.2571428571428571,106.0,190.0,32.0,33.0,4.0
12.0,13.0,12.0,12_2,13_0,266.0,340.0,12_0,13_5,129.0,270.0,15.0,12_15_12_4,12_15_13_10,0.2571428571428571,4.0,10.0,129.0,71.0,4.0
12.0,13.0,15.0,12_2,13_1,3042.0,3213.0,12_1,13_5,2877.0,3046.0,15.0,15_15_12_42,15_15_13_93,0.2571428571428571,42.0,93.0,166.0,168.0,4.0
13.0,12.0,20.0,13_8,12_0,4232.0,4443.0,13_4,12_1,4184.0,4235.0,17.0,20_17_13_104,20_17_12_93,0.2666666666666666,104.0,93.0,49.0,142.0,3.0
13.0,12.0,5.0,13_8,12_0,675.0,800.0,13_1,12_1,651.0,678.0,9.0,5_9_13_18,5_9_12_21,0.2666666666666666,18.0,21.0,24.0,123.0,3.0
13.0,12.0,1.0,13_8,12_7,2369.0,2417.0,13_1,12_1,2334.0,2372.0,13.0,1_13_13_55,1_13_12_32,0.2666666666666666,55.0,32.0,36.0,46.0,3.0
13.0,12.0,18.0,13_8,12_0,3575.0,3839.0,13_3,12_1,3530.0,3578.0,11.0,18_11_13_59,18_11_12_41,0.2666666666666666,59.0,41.0,46.0,233.0,3.0
13.0,12.0,18.0,13_8,12_0,3582.0,3806.0,13_3,12_1,3542.0,3585.0,11.0,18_11_13_62,18_11_12_45,0.2666666666666666,62.0,45.0,41.0,211.0,3.0
14.0,13.0,15.0,14_8,13_0,742.0,847.0,14_1,13_8,711.0,747.0,13.0,15_13_14_2,15_13_13_15,0.2727272727272725,2.0,15.0,32.0,101.0,5.0
2.0,3.0,15.0,2_2,3_0,3748.0,3808.0,2_0,3_5,3626.0,3753.0,9.0,15_9_2_45,15_9_3_36,0.2727272727272725,45.0,36.0,123.0,56.0,5.0
14.0,13.0,20.0,14_8,13_1,2629.0,2663.0,14_8,13_8,2594.0,2634.0,11.0,20_11_14_53,20_11_13_81,0.2727272727272725,53.0,81.0,36.0,30.0,5.0
2.0,3.0,7.0,2_2,3_0,3565.0,3638.0,2_0,3_5,3516.0,3570.0,9.0,7_9_2_56,7_9_3_53,0.2727272727272725,56.0,53.0,50.0,69.0,5.0
14.0,13.0,14.0,14_8,13_0,4137.0,4176.0,14_1,13_8,4099.0,4142.0,13.0,14_13_14_52,14_13_13_129,0.2727272727272725,52.0,129.0,39.0,33.0,5.0
14.0,13.0,6.0,14_8,13_3,134.0,182.0,14_1,13_8,99.0,139.0,19.0,6_19_14_4,6_19_13_5,0.2727272727272725,4.0,5.0,36.0,36.0,5.0
4.0,3.0,10.0,4_8,3_0,5705.0,5809.0,4_6,3_4,5634.0,5719.0,17.0,10_17_4_141,10_17_3_71,0.27999999999999936,141.0,71.0,72.0,79.0,14.0
4.0,3.0,4.0,4_8,3_3,4241.0,4278.0,4_8,3_4,4040.0,4255.0,9.0,4_9_4_79,4_9_3_80,0.27999999999999936,79.0,80.0,202.0,24.0,14.0
4.0,3.0,6.0,4_8,3_0,1324.0,1581.0,4_6,3_4,1269.0,1338.0,17.0,6_17_4_28,6_17_3_20,0.27999999999999936,28.0,20.0,47.0,198.0,14.0
4.0,3.0,6.0,4_8,3_0,1294.0,1380.0,4_6,3_4,1199.0,1308.0,17.0,6_17_4_22,6_17_3_11,0.27999999999999936,22.0,11.0,93.0,54.0,14.0
9.0,10.0,20.0,9_2,10_0,2778.0,2926.0,9_0,10_5,2497.0,2783.0,17.0,20_17_9_49,20_17_10_88,0.2941176470588234,49.0,88.0,240.0,108.0,5.0
9.0,10.0,3.0,9_2,10_0,1380.0,1752.0,9_0,10_5,1224.0,1385.0,11.0,3_11_9_42,3_11_10_62,0.2941176470588234,42.0,62.0,157.0,368.0,5.0
9.0,10.0,13.0,9_2,10_0,1911.0,1980.0,9_0,10_5,1826.0,1916.0,13.0,13_13_9_115,13_13_10_189,0.2941176470588234,115.0,189.0,86.0,53.0,5.0
2.0,3.0,11.0,2_2,3_0,5709.0,5835.0,2_0,3_4,5608.0,5726.0,17.0,11_17_2_110,11_17_3_117,0.3000000000000007,110.0,117.0,102.0,110.0,17.0
7.0,6.0,3.0,7_8,6_0,3434.0,3534.0,7_1,6_8,3395.0,3438.0,17.0,3_17_7_62,3_17_6_80,0.3076923076923075,62.0,80.0,40.0,90.0,4.0
7.0,6.0,12.0,7_8,6_3,1425.0,1511.0,7_1,6_8,1383.0,1429.0,19.0,12_19_7_6,12_19_6_12,0.3076923076923075,6.0,12.0,43.0,72.0,4.0
7.0,6.0,2.0,7_8,6_3,3068.0,3157.0,7_1,6_8,3042.0,3072.0,19.0,2_19_7_55,2_19_6_31,0.3076923076923075,55.0,31.0,26.0,84.0,4.0
7.0,6.0,13.0,7_8,6_3,5768.0,5835.0,7_1,6_8,5728.0,5772.0,19.0,13_19_7_83,13_19_6_92,0.3076923076923075,83.0,92.0,41.0,64.0,4.0
7.0,6.0,6.0,7_8,6_0,930.0,1034.0,7_1,6_8,888.0,934.0,19.0,6_19_7_24,6_19_6_22,0.3076923076923075,24.0,22.0,43.0,92.0,4.0
7.0,6.0,6.0,7_8,6_0,1354.0,1440.0,7_1,6_8,1313.0,1358.0,13.0,6_13_7_15,6_13_6_47,0.3076923076923075,15.0,47.0,41.0,83.0,4.0
7.0,6.0,20.0,7_8,6_0,230.0,443.0,7_0,6_8,192.0,234.0,17.0,20_17_7_14,20_17_6_9,0.3076923076923075,14.0,9.0,39.0,210.0,4.0
7.0,6.0,6.0,7_8,6_0,5071.0,5189.0,7_1,6_8,5012.0,5075.0,11.0,6_11_7_103,6_11_6_112,0.3076923076923075,103.0,112.0,60.0,105.0,4.0
7.0,6.0,5.0,7_8,6_0,4074.0,4150.0,7_1,6_8,4041.0,4078.0,13.0,5_13_7_94,5_13_6_117,0.3076923076923075,94.0,117.0,34.0,71.0,4.0
14.0,13.0,6.0,14_8,13_0,1884.0,1948.0,14_1,13_5,1846.0,1888.0,15.0,6_15_14_50,6_15_13_68,0.33333333333333304,50.0,68.0,38.0,43.0,4.0
14.0,13.0,5.0,14_8,13_5,5710.0,5995.0,14_8,13_5,5610.0,5714.0,11.0,5_11_14_112,5_11_13_267,0.33333333333333304,112.0,267.0,79.0,271.0,4.0
14.0,13.0,15.0,14_8,13_3,3328.0,3368.0,14_1,13_5,3299.0,3332.0,13.0,15_13_14_41,15_13_13_108,0.33333333333333304,41.0,108.0,30.0,37.0,4.0
4.0,2.0,9.0,4_2,2_0,1043.0,1157.0,4_6,2_4,846.0,1046.0,17.0,9_17_4_6,9_17_2_23,0.3333333333333335,6.0,23.0,185.0,112.0,3.0
5.0,6.0,7.0,5_2,6_8,1906.0,1988.0,5_7,6_4,1872.0,1918.0,19.0,7_19_5_30,7_19_6_21,0.3333333333333339,30.0,21.0,35.0,69.0,12.0
4.0,2.0,6.0,4_8,2_0,2520.0,2588.0,4_6,2_1,2365.0,2524.0,13.0,6_13_4_16,6_13_2_21,0.35294117647058787,16.0,21.0,146.0,65.0,4.0
4.0,2.0,10.0,4_8,2_0,1982.0,2152.0,4_8,2_1,1891.0,1986.0,13.0,10_13_4_58,10_13_2_75,0.35294117647058787,58.0,75.0,92.0,167.0,4.0
4.0,2.0,11.0,4_8,2_0,461.0,625.0,4_6,2_1,372.0,465.0,11.0,11_11_4_8,11_11_2_13,0.35294117647058787,8.0,13.0,90.0,160.0,4.0
4.0,2.0,12.0,4_8,2_0,2457.0,2575.0,4_6,2_1,2373.0,2461.0,19.0,12_19_4_44,12_19_2_75,0.35294117647058787,44.0,75.0,85.0,111.0,4.0
4.0,2.0,13.0,4_8,2_0,2212.0,2287.0,4_6,2_1,2144.0,2216.0,13.0,13_13_4_76,13_13_2_51,0.35294117647058787,76.0,51.0,69.0,72.0,4.0
5.0,6.0,18.0,5_1,6_3,548.0,613.0,5_7,6_8,501.0,551.0,13.0,18_13_5_4,18_13_6_31,0.36363636363636376,4.0,31.0,48.0,56.0,3.0
