dep_id,dep_frame,dep_cam_part,ent_id,ent_frame,ent_cam_part,transit
1_11_10_8,315,10_5,1_11_9_7,317,9_2,2
1_11_11_14,3535,11_7,1_11_10_44,3536,10_5,1
1_11_12_72,4135,12_1,1_11_14_51,4146,14_8,11
1_11_14_2,1086,14_8,1_11_13_16,1101,13_4,15
1_11_2_6,917,2_2,1_11_4_12,921,4_7,4
1_11_2_53,3960,2_2,1_11_4_71,3961,4_7,1
1_11_2_68,4232,2_5,1_11_4_79,4234,4_7,2
1_11_4_2,62,4_8,1_11_2_2,66,2_1,4
1_11_4_66,3364,4_5,1_11_2_50,3369,2_1,5
1_11_4_92,5358,4_8,1_11_3_126,5372,3_4,14
1_11_4_96,5754,4_8,1_11_3_131,5761,3_8,7
1_11_6_127,4551,6_5,1_11_5_63,4558,5_2,7
1_11_7_84,5341,7_5,1_11_5_72,5345,5_4,4
1_11_9_50,3602,9_1,1_11_10_53,3609,10_5,7
1_11_9_53,3523,9_8,1_11_10_44,3536,10_5,13
1_13_10_117,2723,10_2,1_13_9_60,2731,9_1,8
1_13_10_122,2747,10_5,1_13_9_61,2748,9_2,1
1_13_12_6,313,12_2,1_13_13_3,319,13_5,6
1_13_12_7,428,12_2,1_13_13_10,431,13_5,3
1_13_13_12,728,13_5,1_13_14_52,733,14_8,5
1_13_13_56,2361,13_5,1_13_12_31,2367,12_2,6
1_13_13_57,2382,13_8,1_13_14_72,2387,14_8,5
1_13_14_32,315,14_8,1_13_13_3,319,13_5,4
1_13_14_117,4231,14_8,1_13_3_117,4271,3_0,40
1_13_2_100,3807,2_5,1_13_4_99,3808,4_4,1
1_13_2_112,3958,2_5,1_13_4_124,3959,4_7,1
1_13_2_134,4407,2_2,1_13_3_126,4423,3_4,16
1_13_2_153,5171,2_2,1_13_3_171,5190,3_4,19
1_13_3_121,4429,3_5,1_13_2_142,4434,2_1,5
1_13_4_30,1253,4_8,1_13_2_29,1257,2_1,4
1_13_4_50,2275,4_5,1_13_2_72,2280,2_1,5
1_13_5_96,2466,5_2,1_13_6_116,2469,6_8,3
1_13_6_63,1349,6_5,1_13_7_68,1355,7_7,6
1_13_6_149,3875,6_2,1_13_7_160,3879,7_7,4
1_13_7_12,92,7_7,1_13_6_22,110,6_1,18
1_13_7_169,4104,7_7,1_13_5_148,4110,5_8,6
1_13_9_16,598,9_2,1_13_10_37,633,10_1,35
1_13_9_17,588,9_5,1_13_10_28,600,10_5,12
1_15_10_8,584,10_0,1_15_6_21,622,6_0,38
1_15_10_42,3092,10_0,1_15_5_49,3106,5_4,14
1_15_10_94,5411,10_5,1_15_9_70,5413,9_2,2
1_15_10_96,5530,10_5,1_15_9_80,5533,9_2,3
1_15_10_108,5578,10_1,1_15_7_110,5620,7_5,42
1_15_12_42,2102,12_5,1_15_13_59,2123,13_4,21
1_15_12_50,2159,12_4,1_15_13_63,2167,13_1,8
1_15_14_2,1194,14_8,1_15_13_45,1214,13_1,20
1_15_14_5,1602,14_5,1_15_12_25,1604,12_1,2
1_15_14_31,2108,14_8,1_15_13_59,2123,13_4,15
1_15_4_3,387,4_5,1_15_2_13,392,2_1,5
1_15_5_94,5452,5_8,1_15_6_170,5480,6_1,28
1_17_12_42,2049,12_2,1_17_13_83,2053,13_8,4
1_17_13_89,2497,13_5,1_17_12_46,2501,12_1,4
1_17_14_50,4366,14_4,1_17_10_91,4410,10_1,44
1_17_2_5,585,2_5,1_17_4_19,594,4_7,9
1_17_2_13,2524,2_2,1_17_3_92,2539,3_4,15
1_17_2_34,3792,2_5,1_17_4_83,3796,4_4,4
1_17_2_43,3768,2_0,1_17_4_81,3793,4_8,25
1_17_3_6,133,3_5,1_17_4_6,139,4_8,6
1_17_3_142,5058,3_5,1_17_4_89,5062,4_8,4
1_17_3_149,5062,3_8,1_17_4_91,5069,4_8,7
1_17_4_6,291,4_8,1_17_3_19,306,3_4,15
1_17_4_91,5102,4_5,1_17_2_65,5105,2_1,3
1_17_5_59,4090,5_2,1_17_6_74,4091,6_7,1
1_17_5_100,5440,5_1,1_17_6_109,5446,6_4,6
1_17_6_24,2794,6_8,1_17_7_40,2799,7_8,5
1_17_6_35,3443,6_8,1_17_7_48,3447,7_8,4
1_17_6_42,4228,6_5,1_17_7_93,4234,7_8,6
1_17_7_17,3388,7_8,1_17_6_37,3389,6_8,1
1_19_12_45,4077,12_2,1_19_13_56,4088,13_1,11
1_19_12_54,4350,12_8,1_19_14_16,4351,14_4,1
1_19_13_45,2984,13_8,1_19_12_31,2985,12_1,1
1_19_14_5,2149,14_8,1_19_13_28,2152,13_8,3
1_19_2_8,580,2_2,1_19_4_19,588,4_7,8
1_19_2_11,581,2_5,1_19_4_18,587,4_4,6
1_19_2_22,919,2_2,1_19_3_21,924,3_5,5
1_19_2_27,2165,2_8,1_19_4_43,2168,4_4,3
1_19_2_67,5336,2_2,1_19_3_70,5338,3_8,2
1_19_3_14,908,3_5,1_19_2_26,954,2_4,46
1_19_3_25,1299,3_5,1_19_4_30,1304,4_8,5
1_19_3_43,4201,3_5,1_19_2_58,4234,2_2,33
1_19_5_31,2267,5_1,1_19_6_9,2273,6_4,6
1_19_6_6,2119,6_8,1_19_5_27,2120,5_2,1
1_19_7_36,2261,7_5,1_19_6_9,2273,6_4,12
1_9_10_12,3081,10_5,1_9_9_31,3087,9_2,6
1_9_12_5,900,12_5,1_9_13_34,911,13_5,11
1_9_12_12,2173,12_2,1_9_13_50,2180,13_5,7
1_9_12_19,2975,12_2,1_9_13_53,2977,13_8,2
1_9_12_32,3634,12_2,1_9_13_80,3637,13_5,3
1_9_13_70,3617,13_8,1_9_12_33,3622,12_2,5
1_9_14_3,907,14_8,1_9_13_34,911,13_5,4
1_9_14_54,5733,14_8,1_9_13_112,5741,13_1,8
1_9_2_9,606,2_2,1_9_13_24,609,13_0,3
1_9_2_14,1627,2_2,1_9_4_21,1655,4_8,28
1_9_4_10,819,4_8,1_9_3_10,836,3_4,17
1_9_4_17,1566,4_8,1_9_3_24,1570,3_8,4
1_9_4_25,1866,4_5,1_9_2_20,1869,2_4,3
1_9_4_39,3247,4_5,1_9_2_31,3253,2_1,6
1_9_5_23,3087,5_2,1_9_6_19,3091,6_8,4
1_9_5_37,4766,5_4,1_9_6_37,4783,6_4,17
1_9_6_8,2751,6_5,1_9_5_20,2752,5_2,1
1_9_7_8,541,7_8,1_9_6_1,544,6_5,3
2_11_10_9,786,10_5,2_11_9_11,791,9_2,5
2_11_12_48,2810,12_2,2_11_13_70,2823,13_8,13
2_11_13_70,2965,13_5,2_11_14_37,2970,14_8,5
2_11_13_93,4067,13_8,2_11_14_53,4070,14_8,3
2_11_14_9,999,14_5,2_11_12_13,1000,12_1,1
2_11_14_54,4449,14_5,2_11_13_96,4456,13_8,7
2_11_14_68,4929,14_8,2_11_13_115,4934,13_5,5
2_11_14_73,4967,14_8,2_11_13_120,4970,13_5,3
2_11_2_22,1429,2_2,2_11_3_29,1433,3_5,4
2_11_3_50,2841,3_5,2_11_2_42,2846,2_2,5
2_11_3_70,2940,3_0,2_11_1_39,2976,1_4,36
2_11_4_19,1426,4_8,2_11_3_29,1433,3_5,7
2_11_4_20,1534,4_5,2_11_2_25,1542,2_1,8
2_11_4_82,4949,4_8,2_11_3_107,4956,3_5,7
2_11_4_86,5141,4_8,2_11_3_115,5149,3_8,8
2_11_4_108,5842,4_8,2_11_3_129,5859,3_5,17
2_11_5_66,5554,5_2,2_11_6_89,5563,6_4,9
2_11_6_38,2621,6_8,2_11_5_31,2622,5_1,1
2_11_9_1,285,9_5,2_11_11_3,287,11_7,2
2_11_9_52,3961,9_2,2_11_10_42,3962,10_8,1
2_13_10_17,441,10_2,2_13_11_1,446,11_7,5
2_13_10_51,1466,10_8,2_13_9_29,1471,9_1,5
2_13_10_65,1744,10_8,2_13_9_48,1751,9_2,7
2_13_10_101,2808,10_8,2_13_9_62,2809,9_2,1
2_13_10_102,2795,10_4,2_13_9_63,2812,9_1,17
2_13_10_136,4151,10_5,2_13_9_97,4153,9_2,2
2_13_10_140,4278,10_2,2_13_11_38,4283,11_7,5
2_13_10_142,4315,10_5,2_13_9_104,4321,9_2,6
2_13_10_153,4510,10_5,2_13_9_115,4514,9_2,4
2_13_12_27,738,12_1,2_13_3_37,741,3_0,3
2_13_12_197,5835,12_2,2_13_13_296,5853,13_4,18
2_13_13_73,837,13_5,2_13_14_24,839,14_8,2
2_13_14_2,228,14_8,2_13_13_12,237,13_4,9
2_13_14_29,1007,14_5,2_13_12_42,1009,12_4,2
2_13_14_98,3065,14_8,2_13_13_173,3077,13_1,12
2_13_14_115,4275,14_8,2_13_13_230,4284,13_4,9
2_13_14_131,4621,14_8,2_13_12_148,4622,12_1,1
2_13_14_187,5837,14_8,2_13_13_296,5853,13_4,16
2_13_2_13,490,2_5,2_13_4_19,494,4_7,4
2_13_2_27,920,2_2,2_13_3_48,937,3_4,17
2_13_2_120,4846,2_4,2_13_4_189,4852,4_4,6
2_13_2_144,5168,2_2,2_13_3_227,5183,3_4,15
2_13_3_110,2429,3_8,2_13_9_60,2473,9_2,44
2_13_4_50,1022,4_8,2_13_2_38,1028,2_1,6
2_13_4_129,3599,4_8,2_13_3_155,3617,3_1,18
2_13_4_173,5046,4_8,2_13_3_221,5068,3_4,22
2_13_4_188,4925,4_8,2_13_3_219,4930,3_8,5
2_13_4_211,5503,4_5,2_13_2_163,5504,2_1,1
2_13_6_8,349,6_5,2_13_7_28,352,7_8,3
2_13_6_76,2272,6_8,2_13_7_85,2274,7_7,2
2_13_6_157,5449,6_8,2_13_5_148,5450,5_2,1
2_13_6_177,5898,6_8,2_13_5_155,5902,5_1,4
2_13_7_36,920,7_7,2_13_6_31,926,6_5,6
2_15_10_74,1468,10_0,2_15_7_47,1478,7_8,10
2_15_10_113,2218,10_0,2_15_5_59,2244,5_2,26
2_15_10_177,5489,10_5,2_15_9_70,5492,9_1,3
2_15_14_63,2077,14_6,2_15_13_64,2086,13_0,9
2_15_14_79,2986,14_8,2_15_12_71,3004,12_1,18
2_15_14_93,5333,14_8,2_15_13_136,5341,13_5,8
2_15_2_9,494,2_2,2_15_4_18,501,4_8,7
2_15_2_19,1454,2_5,2_15_4_32,1456,4_7,2
2_15_2_21,1679,2_5,2_15_4_43,1681,4_7,2
2_15_2_27,2089,2_5,2_15_4_48,2091,4_7,2
2_15_2_46,3161,2_5,2_15_4_74,3164,4_7,3
2_15_2_56,3537,2_5,2_15_4_87,3539,4_4,2
2_15_2_64,4934,2_5,2_15_4_101,4938,4_7,4
2_15_3_16,937,3_5,2_15_4_26,940,4_8,3
2_15_4_25,979,4_8,2_15_2_12,980,2_1,1
2_15_5_57,2193,5_2,2_15_6_83,2202,6_4,9
2_15_5_69,2839,5_2,2_15_6_107,2852,6_4,13
2_15_5_79,2925,5_8,2_15_7_105,2954,7_6,29
2_15_6_49,1477,6_5,2_15_7_47,1478,7_8,1
2_15_6_93,2666,6_5,2_15_7_83,2667,7_7,1
2_15_7_58,2190,7_8,2_15_6_83,2202,6_4,12
2_15_7_85,2817,7_5,2_15_5_72,2819,5_1,2
2_15_7_88,2837,7_8,2_15_6_107,2852,6_4,15
2_15_7_89,2909,7_7,2_15_6_112,2922,6_4,13
2_15_7_115,3569,7_8,2_15_6_137,3571,6_8,2
2_15_9_12,989,9_2,2_15_10_50,994,10_5,5
2_15_9_36,1413,9_2,2_15_10_74,1416,10_5,3
2_15_9_65,5369,9_2,2_15_10_175,5371,10_5,2
2_17_10_4,64,10_5,2_17_9_6,73,9_1,9
2_17_11_5,839,11_7,2_17_10_25,845,10_1,6
2_17_12_22,868,12_2,2_17_3_38,871,3_0,3
2_17_12_26,977,12_2,2_17_13_44,984,13_5,7
2_17_12_92,2380,12_2,2_17_13_127,2395,13_1,15
2_17_12_97,2401,12_5,2_17_13_129,2410,13_5,9
2_17_12_138,3814,12_5,2_17_13_179,3830,13_4,16
2_17_13_23,594,13_5,2_17_14_11,596,14_8,2
2_17_13_33,901,13_0,2_17_2_17,923,2_2,22
2_17_13_51,1189,13_5,2_17_14_28,1191,14_7,2
2_17_13_72,1693,13_4,2_17_12_59,1695,12_2,2
2_17_13_134,2651,13_5,2_17_14_61,2654,14_8,3
2_17_13_161,3224,13_5,2_17_14_72,3227,14_8,3
2_17_13_163,3291,13_5,2_17_14_73,3294,14_8,3
2_17_13_179,3864,13_0,2_17_2_45,3889,2_2,25
2_17_14_24,981,14_8,2_17_13_44,984,13_5,3
2_17_14_49,2405,14_7,2_17_13_129,2410,13_5,5
2_17_14_74,3821,14_8,2_17_13_179,3830,13_4,9
2_17_4_1,99,4_8,2_17_2_8,106,2_1,7
2_17_4_34,1264,4_5,2_17_2_27,1271,2_4,7
2_17_4_39,1749,4_8,2_17_2_31,1756,2_1,7
2_17_4_63,4302,4_8,2_17_2_52,4306,2_2,4
2_17_6_13,349,6_8,2_17_7_18,352,7_5,3
2_17_6_53,3086,6_8,2_17_5_60,3087,5_1,1
2_17_7_62,2682,7_1,2_17_5_40,2704,5_7,22
2_17_7_100,4322,7_8,2_17_6_94,4328,6_5,6
2_19_10_61,5105,10_0,2_19_9_54,5136,9_1,31
2_19_10_74,5148,10_2,2_19_11_16,5152,11_7,4
2_19_10_76,5131,10_4,2_19_9_54,5136,9_1,5
2_19_12_1,752,12_2,2_19_13_2,756,13_5,4
2_19_12_21,4275,12_2,2_19_13_38,4279,13_5,4
2_19_13_6,902,13_8,2_19_12_5,903,12_1,1
2_19_14_34,4276,14_8,2_19_13_38,4279,13_5,3
2_19_2_5,816,2_2,2_19_3_9,856,3_4,40
2_19_2_52,2520,2_5,2_19_4_40,2522,4_4,2
2_19_5_4,445,5_2,2_19_6_6,450,6_4,5
2_19_5_45,2978,5_2,2_19_6_21,2981,6_7,3
2_19_5_58,3071,5_1,2_19_6_32,3073,6_8,2
2_19_6_50,4690,6_5,2_19_7_84,4695,7_4,5
2_19_7_50,3056,7_8,2_19_6_26,3059,6_8,3
2_19_7_55,3068,7_8,2_19_6_32,3073,6_8,5
2_19_9_49,5081,9_2,2_19_10_74,5083,10_8,2
2_9_10_16,1236,10_5,2_9_9_14,1241,9_2,5
2_9_10_26,1588,10_2,2_9_9_20,1596,9_2,8
2_9_10_44,2598,10_5,2_9_9_42,2604,9_2,6
2_9_12_6,567,12_5,2_9_13_8,576,13_5,9
2_9_12_16,775,12_5,2_9_13_19,791,13_4,16
2_9_12_39,2830,12_2,2_9_13_44,2834,13_8,4
2_9_12_73,5205,12_7,2_9_14_55,5211,14_1,6
2_9_13_8,730,13_5,2_9_14_6,736,14_7,6
2_9_13_36,2320,13_8,2_9_12_34,2321,12_1,1
2_9_14_1,570,14_8,2_9_13_8,576,13_5,6
2_9_14_47,3476,14_5,2_9_12_56,3477,12_1,1
2_9_2_12,892,2_5,2_9_4_17,894,4_7,2
2_9_3_20,2415,3_5,2_9_2_20,2416,2_2,1
2_9_5_18,2539,5_2,2_9_6_33,2547,6_5,8
2_9_5_31,3170,5_5,2_9_6_40,3188,6_4,18
2_9_6_48,4133,6_5,2_9_7_60,4134,7_8,1
2_9_7_19,1524,7_8,2_9_6_19,1528,6_5,4
2_9_7_42,3175,7_8,2_9_6_39,3179,6_5,4
2_9_7_44,3172,7_8,2_9_6_40,3188,6_4,16
2_9_7_90,5818,7_4,2_9_6_67,5825,6_8,7
3_11_10_112,2159,10_5,3_11_9_59,2162,9_2,3
3_11_10_135,2782,10_5,3_11_9_75,2783,9_2,1
3_11_12_19,1214,12_1,3_11_15_8,1260,15_7,46
3_11_13_143,2438,13_0,3_11_4_100,2485,4_8,47
3_11_13_169,3624,13_5,3_11_12_70,3630,12_2,6
3_11_2_27,1433,2_5,3_11_4_31,1435,4_4,2
3_11_2_37,1672,2_0,3_11_7_54,1707,7_6,35
3_11_2_83,2304,2_5,3_11_4_95,2308,4_4,4
3_11_2_139,4652,2_5,3_11_4_146,4656,4_7,4
3_11_2_154,5167,2_5,3_11_4_150,5171,4_4,4
3_11_3_58,1606,3_5,3_11_2_37,1608,2_2,2
3_11_3_76,1934,3_5,3_11_4_65,1937,4_8,3
3_11_3_174,4185,3_0,3_11_12_93,4194,12_2,9
3_11_4_34,1558,4_8,3_11_13_61,1596,13_0,38
3_11_4_104,3037,4_8,3_11_3_136,3048,3_4,11
3_11_4_119,3579,4_5,3_11_2_118,3580,2_4,1
3_11_5_280,4463,5_2,3_11_6_174,4469,6_5,6
3_11_6_25,1089,6_4,3_11_7_23,1105,7_5,16
3_11_6_62,1753,6_5,3_11_7_66,1759,7_5,6
3_11_6_90,2537,6_5,3_11_7_102,2539,7_7,2
3_11_9_4,370,9_2,3_11_10_14,392,10_1,22
3_11_9_6,386,9_2,3_11_10_13,390,10_8,4
3_11_9_24,750,9_2,3_11_10_27,763,10_4,13
3_11_9_32,1032,9_2,3_11_10_40,1048,10_2,16
3_11_9_41,1378,9_1,3_11_10_61,1384,10_5,6
3_13_10_70,2308,10_5,3_13_11_18,2311,11_8,3
3_13_12_139,4750,12_4,3_13_13_146,4768,13_4,18
3_13_14_56,2864,14_7,3_13_13_69,2874,13_1,10
3_13_14_97,4760,14_8,3_13_13_146,4768,13_4,8
3_13_14_98,4777,14_8,3_13_13_149,4785,13_4,8
3_13_2_7,558,2_5,3_13_4_24,561,4_7,3
3_13_2_37,2347,2_5,3_13_4_100,2351,4_7,4
3_13_2_196,5784,2_5,3_13_4_249,5787,4_7,3
3_13_4_78,1699,4_5,3_13_2_27,1702,2_1,3
3_13_4_210,5101,4_8,3_13_3_163,5114,3_1,13
3_13_4_217,5226,4_5,3_13_2_191,5227,2_4,1
3_13_5_8,662,5_4,3_13_6_7,678,6_4,16
3_13_5_15,1288,5_2,3_13_6_24,1303,6_1,15
3_13_5_73,4738,5_8,3_13_13_143,4753,13_0,15
3_13_5_83,4986,5_2,3_13_6_74,4990,6_8,4
3_13_6_51,3209,6_8,3_13_5_47,3212,5_4,3
3_13_6_59,3966,6_5,3_13_7_100,3967,7_8,1
3_13_6_65,4516,6_5,3_13_7_132,4517,7_7,1
3_13_7_18,1290,7_7,3_13_6_23,1302,6_4,12
3_13_7_44,2209,7_7,3_13_6_38,2212,6_5,3
3_13_9_9,770,9_2,3_13_10_14,780,10_5,10
3_13_9_16,806,9_2,3_13_10_18,807,10_8,1
3_15_10_30,1293,10_5,3_15_11_5,1295,11_7,2
3_15_10_77,3432,10_1,3_15_11_25,3479,11_7,47
3_15_10_88,3472,10_5,3_15_11_25,3479,11_7,7
3_15_10_91,4332,10_4,3_15_9_110,4381,9_1,49
3_15_13_6,254,13_5,3_15_14_4,258,14_8,4
3_15_13_58,1559,13_5,3_15_14_22,1564,14_7,5
3_15_14_23,1603,14_8,3_15_13_70,1605,13_5,2
3_15_14_40,2639,14_8,3_15_13_134,2650,13_1,11
3_15_2_26,2519,2_8,3_15_4_49,2523,4_4,4
3_15_4_61,3605,4_2,3_15_2_42,3606,2_4,1
3_15_4_71,4492,4_5,3_15_2_51,4493,2_1,1
3_15_4_89,5868,4_5,3_15_2_80,5870,2_1,2
3_15_5_67,4146,5_2,3_15_6_117,4148,6_5,2
3_15_6_5,399,6_5,3_15_7_8,404,7_7,5
3_15_6_74,3418,6_5,3_15_7_59,3419,7_8,1
3_15_6_147,4950,6_3,3_15_3_337,4986,3_3,36
3_15_6_182,5932,6_8,3_15_5_93,5936,5_1,4
3_15_7_12,793,7_0,3_15_2_12,812,2_0,19
3_15_7_13,681,7_8,3_15_6_15,695,6_1,14
3_15_9_7,271,9_2,3_15_10_11,273,10_5,2
3_17_10_55,1672,10_2,3_17_11_26,1674,11_7,2
3_17_11_26,1773,11_7,3_17_10_58,1782,10_1,9
3_17_11_27,2053,11_7,3_17_10_62,2061,10_1,8
3_17_12_1,184,12_1,3_17_13_7,192,13_8,8
3_17_12_14,997,12_2,3_17_13_48,1006,13_5,9
3_17_13_73,1868,13_8,3_17_12_49,1869,12_1,1
3_17_14_8,380,14_8,3_17_3_20,386,3_0,6
3_17_14_46,2971,14_8,3_17_13_100,2983,13_1,12
3_17_14_48,3106,14_8,3_17_13_108,3118,13_1,12
3_17_14_52,3796,14_5,3_17_12_72,3797,12_1,1
3_17_14_65,5663,14_5,3_17_13_159,5677,13_5,14
3_17_2_22,3104,2_2,3_17_13_105,3106,13_0,2
3_17_4_8,849,4_5,3_17_2_8,851,2_5,2
3_17_4_52,2683,4_5,3_17_2_18,2688,2_1,5
3_17_5_1,2095,5_2,3_17_6_47,2097,6_8,2
3_17_5_70,4811,5_2,3_17_6_107,4817,6_5,6
3_17_7_59,3424,7_8,3_17_6_76,3425,6_5,1
3_17_7_68,3626,7_5,3_17_6_91,3656,6_4,30
3_17_9_8,336,9_1,3_17_10_10,344,10_5,8
3_19_3_11,600,3_5,3_19_4_14,602,4_8,2
3_19_3_18,594,3_8,3_19_2_7,601,2_5,7
3_19_3_120,4841,3_5,3_19_4_90,4844,4_8,3
3_19_4_19,753,4_5,3_19_2_18,759,2_1,6
3_19_4_47,1941,4_8,3_19_3_61,1944,3_5,3
3_19_4_83,4421,4_8,3_19_3_119,4428,3_5,7
3_19_4_90,4917,4_8,3_19_3_127,4931,3_1,14
3_19_6_24,1676,6_8,3_19_5_50,1677,5_2,1
3_19_6_62,5493,6_5,3_19_5_210,5499,5_1,6
3_19_7_43,1433,7_5,3_19_6_21,1447,6_4,14
3_19_9_26,1615,9_2,3_19_10_53,1624,10_1,9
3_19_9_72,5435,9_1,3_19_10_101,5440,10_5,5
3_19_9_78,5439,9_2,3_19_10_102,5447,10_4,8
3_19_9_85,5923,9_2,3_19_10_115,5926,10_5,3
3_9_10_3,106,10_0,3_9_5_4,138,5_1,32
3_9_10_147,5273,10_5,3_9_9_182,5278,9_2,5
3_9_12_56,3121,12_2,3_9_13_83,3123,13_8,2
3_9_12_127,3828,12_2,3_9_13_96,3832,13_8,4
3_9_12_140,4594,12_1,3_9_13_130,4595,13_8,1
3_9_12_141,4521,12_2,3_9_13_126,4544,13_1,23
3_9_13_50,2028,13_8,3_9_12_44,2034,12_5,6
3_9_13_73,3046,13_8,3_9_12_57,3049,12_1,3
3_9_13_96,4050,13_5,3_9_12_131,4054,12_2,4
3_9_13_226,5931,13_5,3_9_12_236,5938,12_2,7
3_9_14_184,5598,14_2,3_9_12_215,5601,12_4,3
3_9_14_186,5597,14_4,3_9_13_216,5610,13_5,13
3_9_15_50,3592,15_7,3_9_1_47,3602,1_6,10
3_9_2_29,1967,2_2,3_9_3_36,1980,3_4,13
3_9_2_35,2984,2_2,3_9_3_60,2985,3_8,1
3_9_2_49,3539,2_2,3_9_3_87,3545,3_8,6
3_9_3_1,106,3_5,3_9_4_2,107,4_8,1
3_9_3_22,1737,3_8,3_9_2_19,1739,2_2,2
3_9_3_87,3634,3_8,3_9_4_65,3636,4_8,2
3_9_4_13,900,4_8,3_9_2_3,904,2_1,4
3_9_4_83,4301,4_5,3_9_2_63,4303,2_1,2
3_9_5_14,423,5_5,3_9_6_23,455,6_5,32
3_9_5_15,421,5_8,3_9_10_24,446,10_0,25
3_9_5_36,1908,5_1,3_9_6_32,1915,6_4,7
3_9_5_68,3843,5_2,3_9_6_68,3846,6_5,3
3_9_5_90,5225,5_2,3_9_6_78,5226,6_5,1
3_9_6_4,140,6_4,3_9_5_9,154,5_1,14
3_9_6_5,146,6_8,3_9_5_5,147,5_2,1
3_9_6_34,2450,6_8,3_9_5_42,2454,5_1,4
3_9_6_36,2564,6_8,3_9_5_43,2565,5_2,1
3_9_6_41,3071,6_5,3_9_7_100,3072,7_7,1
3_9_6_60,3127,6_8,3_9_5_61,3130,5_1,3
3_9_6_69,4413,6_8,3_9_5_75,4414,5_2,1
